M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
l,50,-4.62,2.58,-1.22,0.971,0.135,0.149,68.1,-2,-3.9
l,50,-5.17,2.33,-1.58,0.98,0.151,0.134,69.6,-0.6,-2.2
l,50,-1.51,-1.03,-1.77,0.985,0.158,0.143,70.8,0.8,-0.7
l,52,0.63,-2,-0.12,0.975,0.164,0.132,72,2.1,0.5
l,48,2.58,0.32,-0.67,0.972,0.158,0.15,72.8,3.3,1.7
l,50,2.77,-3.22,-0.67,1.002,0.161,0.13,73.7,4.3,2.5
l,50,2.95,-0.23,0.13,0.949,0.146,0.125,74.5,5,3.3
l,51,2.95,-0.35,0,0.981,0.143,0.132,75.1,5.6,3.9
l,49,0.57,-1.88,-0.06,0.957,0.154,0.115,75.7,6.2,4.3
l,50,0.51,-1.88,-0.3,0.985,0.149,0.126,76.3,6.6,4.8
l,51,0.57,-3.04,0.06,0.972,0.158,0.118,76.7,7,5.1
l,50,0.38,-0.78,-0.79,0.969,0.151,0.121,77.1,7.3,5.3
l,51,-0.53,-2.06,-0.73,0.982,0.162,0.122,77.4,7.5,5.5
l,54,-0.1,-1.76,0.49,0.97,0.149,0.127,77.6,7.7,5.8
Next Letter: m,,,,,,,,,,
m,51,0.63,-1.09,-0.12,0.993,0.157,0.125,79.1,8.8,6.7
m,50,1.06,-2.49,0.19,0.983,0.161,0.104,79.2,8.9,6.6
m,50,-0.71,-9.2,-0.67,1.034,0.178,0.064,79.6,9,6.1
m,50,0.51,-27.21,4.64,1.114,0.241,-0.172,80.1,9.5,4.1
m,50,89.07,3.67,58.11,1.48,0.376,-0.467,79.9,13.9,7
m,50,154.62,-118.46,118.35,1.497,0.19,-0.475,85.8,21.7,12.9
m,52,170.86,-167.04,168.83,1.492,-0.046,-0.378,91.7,25.7,16.3
m,48,145.4,-289.9,179.26,1.292,-0.276,-0.225,101,26,19.7
m,50,143.45,-368.15,168.16,1.108,-0.42,-0.265,111.3,25.2,22
m,50,162.25,-365.89,106.02,0.5,-0.372,-0.133,117.9,22.9,21.4
m,50,138.81,-258.23,19.11,0.128,-0.325,0.046,130.8,29.9,22.4
m,50,56.84,-116.75,-47.91,0.198,-0.119,0.008,136.7,32.7,20
m,50,2.83,-71.89,-65.3,0.419,-0.045,0.087,130.8,27,16
m,50,-127.12,-6.03,-84.1,0.183,-0.188,0.083,131.1,20.6,11.8
m,67,-215.07,43.84,-113.22,0.154,-0.339,-0.212,112.1,-2.5,-0.9
m,33,-234.91,125.32,-112.3,0.565,-0.46,-0.626,97.1,-13,-10
m,51,-202.86,60.07,-70.8,0.809,-0.441,-1.438,94.1,-23.4,-13.6
m,49,-40.75,47.74,13,0.98,-0.085,-2.239,91.7,-25.4,-13
m,50,141.01,-3.1,80.33,0.878,-0.547,-1.669,91.9,-18.3,-9
m,50,220.05,-91.78,117.01,0.405,-0.412,-0.982,85.1,-9.4,-11.6
m,52,233.11,-74.27,107.73,0.312,-0.551,-0.413,79.3,-4.7,-10.1
m,48,168.05,-95.08,72.94,0.123,-0.578,-0.083,73.1,-8.5,-6.8
m,50,63.31,-73.05,21.73,0.104,-0.474,-0.198,66.9,-14.2,-8.2
m,50,-9.2,46.83,32.35,0.291,-0.402,0,60.3,-20.6,-5.6
m,50,-139.2,39.93,18.56,0.123,-0.352,0.079,52.4,-33.5,-2.1
m,50,-234.84,50.55,17.09,0.25,-0.421,-0.233,46.5,-46.1,-4.9
m,50,-226.24,68.55,34.92,0.456,-0.542,-1.037,43.1,-57.4,-3.1
m,52,-85.13,76.31,62.5,0.324,-0.401,-1.651,39.1,-61.9,0.1
m,85,46.95,6.48,83.44,0.368,-0.482,-1.729,38.5,-57.9,7.2
m,63,124.23,-13.54,90.64,0.195,-0.715,-1.29,39.4,-50.1,12.9
m,45,112.75,-68.71,90.7,0.138,-0.442,-0.736,37.5,-42.8,5.8
m,54,81.81,-66.76,65.56,0.012,-0.281,-0.422,35.1,-37.7,-0.5
m,40,56.6,-86.54,47,0.049,-0.224,-0.345,33.8,-35,-7.3
m,16,2.15,-27.94,25.21,-0.156,-0.154,-0.1,34.3,-35,-6.9
m,59,-78.17,39.75,-0.36,-0.155,-0.248,-0.104,22.6,-41.6,-8.8
m,39,-159.47,93.09,-23.25,0.032,-0.264,-0.214,16.9,-48.3,-14.1
m,51,-208.72,113.66,-28.19,0.367,-0.15,-0.608,14,-51.9,-21.7
m,49,-196.64,134.47,-26.36,0.225,-0.078,-0.924,8.4,-53,-30.9
m,50,-122.66,135.88,-34.79,0.62,-0.015,-1.373,1.6,-59.1,-32.7
m,50,-33.49,114.03,-14.77,0.556,0,-1.397,-0.2,-51.7,-38.6
m,50,19,113.84,-9.82,0.636,0.061,-1.147,-0.7,-42.7,-42.4
m,50,41.71,121.47,-8.11,0.584,-0.041,-0.854,-0.6,-34.9,-44.7
m,51,23.46,145.09,-16.84,0.454,-0.1,-0.72,-2,-29.6,-47.3
m,49,15.58,250.5,-40.77,0.612,-0.103,-0.505,-4.7,-25.6,-47.8
m,50,3.8,279.86,-64.94,0.881,-0.062,-0.22,-4.5,-22.2,-45.5
m,51,-21.34,228.47,-82.03,1.136,0,-0.088,-0.9,-19.8,-42.9
m,50,-37.4,157.91,-73.42,1.222,-0.017,0.024,5.8,-18.5,-39.4
m,50,-53.45,78.99,-58.28,1.156,-0.005,0.114,14.2,-18.1,-35.1
m,50,-60.96,10.51,-44.61,1.099,0.108,0.087,24.1,-17.1,-31.1
m,50,-37.64,-17.2,-20.99,1.014,0.099,-0.055,33.7,-15.3,-27.8
m,55,12.53,-14.51,4.95,1.002,0.114,0.017,41.9,-11.5,-23.2
m,45,6.55,-1.33,7.51,0.913,0.167,0.188,46.8,-8,-17.7
m,50,-0.41,-2.19,5.56,0.968,0.175,0.228,50.9,-5.3,-12.9
m,52,-0.04,1.35,2.99,0.934,0.183,0.169,54.5,-2.9,-9.3
m,48,1,5.32,-0.06,0.992,0.175,0.158,57.6,-0.9,-6.6
m,52,0.63,1.97,-0.36,0.97,0.154,0.181,60.3,0.6,-4
m,49,0.38,1.54,-0.97,0.984,0.18,0.167,62.6,2.1,-2.1
m,51,1.18,-0.48,0.37,0.972,0.169,0.172,64.6,3.3,-0.2
m,49,1.61,-0.29,0.25,0.953,0.164,0.17,66.4,4.3,1.3
m,52,1.36,-1.15,0.37,0.974,0.181,0.167,67.8,5.3,2.6
Next Letter: n,,,,,,,,,,
n,142,1.48,-0.23,-1.28,0.984,0.186,0.155,76.1,10.4,8.8
n,12,-0.47,-2,-0.79,0.948,0.175,0.152,76.1,10.4,8.9
n,24,-1.2,-1.51,-0.18,0.988,0.162,0.151,76.4,10.2,8.8
n,25,-4.99,-7.43,-0.55,0.995,0.173,0.138,76.7,10,8.6
n,55,-10.72,-4.5,1.22,0.918,0.245,-0.082,76.5,10.2,6.7
n,44,71.37,16.13,24.42,1.428,0.379,-0.489,75.8,13.4,7.7
n,48,144.43,-125.05,85.88,1.774,0.479,-0.521,81.8,20.3,11.9
n,50,183.92,-185.23,157.78,1.944,0.201,-0.403,91.1,29.5,19.7
n,51,186.54,-299.85,201.36,1.519,0.029,-0.12,103.2,33.3,24.8
n,49,193.99,-353.32,182.38,1.154,-0.086,-0.012,115.3,35.8,28.6
n,50,214.68,-372.18,112.92,0.394,-0.211,0.187,122,35.7,32.5
n,50,148.94,-243.7,17.58,-0.081,-0.389,0.333,112.7,29.3,34.4
n,50,19.92,-65.97,-37.9,0.119,-0.137,0.011,116,30.3,32.5
n,50,-51.19,-30.44,-92.04,0.213,-0.094,0.427,103.8,21.9,32.9
n,50,-206.1,-23,-130.55,0.257,0.002,0.17,105,11.6,26.4
n,50,-277.2,55.31,-140.87,0.44,-0.082,-0.311,94.9,-3.2,11.2
n,50,-273.6,24.73,-97.77,0.844,-0.198,-1.122,93.7,-16.9,6.3
n,50,-148.66,20.95,-27.65,0.962,0.099,-2.234,92.7,-24.3,4.9
n,50,61.6,67.09,61.41,0.902,-0.133,-2.181,89.3,-21.2,8
n,50,205.22,-30.08,134.16,0.884,-0.178,-1.373,90.8,-11,14.7
n,51,283.77,-73.72,132.63,0.231,-0.241,-0.616,83.3,0,9
n,49,258.62,-85.74,90.21,0.242,-0.465,-0.047,78.5,1.4,10.7
n,50,133.14,-33.44,43.83,0.137,-0.391,-0.003,71,-3.7,10.9
n,50,-49.66,11.36,24.3,0.2,-0.262,0.199,64.6,-11.7,14.9
n,52,-205.55,61.17,8.37,0.271,-0.167,0.107,60.2,-23.5,15.9
n,48,-326.15,91.38,4.4,0.472,-0.207,-0.169,56.5,-36.7,10.9
n,57,-351.54,81.43,46.51,0.599,0.062,-1.195,48.1,-47.8,2.1
n,43,-193.65,128,66.65,0.79,0.161,-2.062,42.6,-56.1,4.9
n,50,-12.8,-5.11,75.38,0.544,0.011,-2.162,42.9,-56.8,8.7
n,50,126.91,-61.82,86.55,0.973,-0.101,-1.438,45.9,-50.4,13
n,50,194.11,-226.12,107.49,0.297,-0.206,-1.079,50.9,-36.2,4.9
n,50,225.54,-136.1,88.44,0.276,-0.218,-0.67,52.3,-23.7,-1.4
n,50,187.34,-153.55,65.56,0.046,-0.242,-0.396,51.8,-16.8,-7.1
n,50,129.23,-54.49,25.58,-0.131,-0.2,-0.166,54.5,-10.4,-5.9
n,50,41.83,-4.69,11.84,0.017,-0.176,-0.019,54.8,-8.3,-5.3
n,50,-40.87,17.83,-3.17,0.003,-0.099,-0.012,53.9,-10.3,-5.4
n,50,-107.59,46.89,-18.18,0.014,-0.194,-0.266,51.5,-15.7,-6.3
n,50,-129.01,133.43,-44.55,0.131,-0.401,-0.453,40,-24.9,-14.3
n,50,-141.03,183.48,-68.11,0.216,-0.344,-0.865,28.1,-30.3,-24.8
n,51,-121.26,273.88,-93.62,0.244,-0.457,-0.9,14.1,-34.9,-34.2
n,49,-79.14,307.51,-126.71,1.078,-0.211,-0.639,7.9,-34.4,-38.8
n,50,-86.29,239.15,-105.59,1.065,-0.167,-0.552,5.7,-34.1,-41.6
n,50,-83.6,265.33,-89.72,1.267,-0.054,-0.397,4.5,-32.9,-41.8
n,50,-67.36,201.73,-74.09,1.346,-0.063,-0.239,7.2,-31.2,-40.2
n,50,-58.33,91.32,-60.85,1.291,0.025,-0.171,14.6,-28.9,-37.8
n,62,-44.6,7.89,-46.93,1.07,0.087,-0.225,23.6,-26.2,-36.4
n,38,-31.23,43.47,-25.51,1.006,0.248,-0.185,29.6,-21.2,-33.3
n,50,31.33,24.06,-11.29,1.065,0.16,-0.319,34.8,-15.5,-31.3
n,50,19.98,-4.32,-3.78,0.944,0.106,0.007,42.3,-11.4,-26.7
n,51,-2.54,0.99,-3.84,0.978,0.147,0.109,47.8,-8.5,-21.9
n,51,-9.56,-8.59,-0.67,1.001,0.188,0.061,52.9,-6,-18.1
n,50,-2,-6.4,-0.3,0.962,0.197,0.043,56.9,-3.5,-15
n,50,1.18,1.78,-1.34,0.955,0.209,0.056,59.9,-1.1,-12.4
n,50,0.51,-1.82,-0.79,0.984,0.218,0.045,62.6,1,-10.1
n,51,0.81,1.35,-0.85,0.965,0.206,0.062,64.7,2.7,-8.1
n,50,0.26,-1.03,-0.06,0.981,0.195,0.082,66.8,4,-6.2
n,51,1.36,-2.12,0.8,0.951,0.198,0.077,68.4,5.2,-4.6
n,54,3.44,-4.63,1.16,0.975,0.223,0.059,69.9,6.5,-3.3
n,46,6.31,0.62,0.37,0.969,0.201,0.049,71.1,7.5,-2.4
n,50,3.92,-2.19,0.68,0.952,0.184,0.045,72.3,8.2,-1.6
Next Letter: o,,,,,,,,,,
o,51,0.69,-2.37,-0.79,0.956,0.192,0.03,78.6,11.2,1.6
o,50,-0.35,1.11,-1.71,0.966,0.194,0.038,78.5,11.2,1.6
o,52,-0.84,-3.1,0.55,0.955,0.19,0.022,78.7,11.1,1.6
o,50,-2.91,-1.03,-0.3,0.99,0.193,0.013,78.8,11,1.5
o,50,-6.08,-11.4,2.26,1.01,0.168,-0.031,79.5,10.5,1.1
o,51,-6.21,-22.51,14.77,1.087,0.166,-0.298,79.4,9.9,-0.7
o,49,91.33,-31.48,55.61,1.358,0.254,-0.637,81,14.4,2
o,51,143.94,-75.49,117.13,1.494,0.125,-0.558,84.8,21.7,8
o,51,170.67,-144.82,166.45,1.418,-0.087,-0.387,89.5,25.4,11.7
o,50,140.03,-259.75,160.22,1.128,-0.219,-0.087,98.9,25.9,16.1
o,49,86.32,-336.6,113.77,0.872,-0.448,-0.28,106.9,21.7,16.1
o,54,38.04,-342.82,74.71,0.857,-0.546,-0.377,114.4,15.6,14
o,46,-50.46,-307.3,84.72,0.424,-0.638,-0.391,113.7,4.1,11.2
o,52,-93.49,-195.24,83.87,0.17,-0.496,-0.628,107.1,-6.2,5.7
o,48,-83.9,-156.12,42.97,-0.011,0.041,-0.769,97.3,-8.3,-6.4
o,50,2.4,-152.51,-20.93,-0.461,0.501,-0.821,85.3,-2.7,-13.9
o,50,97.98,-87.15,-105.4,-0.439,0.484,-0.459,71.2,7.5,-21.6
o,50,107.75,-65.78,-160.46,-0.145,0.155,-0.207,58.9,15.6,-31.8
o,50,41.28,-17.26,-175.59,-0.049,-0.195,-0.068,59.8,17.7,-40.6
o,51,-70.54,-0.66,-174.8,0.077,-0.234,-0.173,59.8,14.1,-49.5
o,49,-147.87,108.11,-151.61,0.646,-0.412,-0.316,54,1.4,-51.7
o,54,-200.42,76.92,-129.51,0.718,-0.721,-0.636,49.9,-9.5,-58.7
o,46,-229.41,151.44,-57.86,0.763,-0.802,-0.882,42.9,-20,-61.4
o,50,-192.73,136.85,62.99,1.054,-0.751,-1.32,36.1,-29.6,-58.3
o,50,-135.11,87.29,165.23,0.675,-0.361,-1.849,31.7,-36.4,-50
o,50,-63.7,87.05,227.48,0.961,-0.143,-1.58,27.4,-39.6,-38.6
o,50,12.23,-59.38,228.89,0.353,0.046,-1.648,30.3,-39,-27.2
o,51,64.84,-55.29,192.33,0.627,0.072,-1.192,32.3,-29.9,-24.1
o,49,100.42,-159.78,125.37,0.116,0.172,-1.074,35,-19.8,-27.1
o,50,128.62,-112.96,59.64,0.05,0.168,-0.823,35.1,-9.7,-32.2
o,50,126.61,-130.36,-4.94,-0.073,0.106,-0.623,34.4,-1.4,-39.3
o,64,119.28,-87.45,-63.53,-0.031,-0.086,-0.425,33.4,3.6,-48.6
o,36,88.28,-86.78,-98.75,0.032,-0.183,-0.307,31.8,1.1,-53.1
o,50,50.86,-71.09,-104.06,0.196,-0.595,-0.297,32.5,-5.7,-53.4
o,50,-0.77,-25.07,-83.25,0.161,-0.914,-0.363,30.1,-14.9,-52.1
o,52,-26.65,0.07,-46.26,0.402,-0.921,-0.456,28.8,-22.3,-50
o,48,-46.25,8.8,5.25,0.243,-0.77,-0.504,26.3,-28.9,-47.1
o,50,-63.7,60.68,28.08,0.145,-0.514,-0.46,21.6,-34.3,-44.9
o,52,-88.54,121.84,31.8,0.121,-0.451,-0.42,14.6,-40,-43.1
o,49,-121.62,245.86,12.03,0.231,-0.345,-0.389,5.8,-44.7,-42.6
o,50,-124.74,299.08,-31.43,0.483,-0.366,-0.465,-1.9,-47.6,-43.2
o,52,-74.51,219.74,-80.32,0.702,-0.354,-0.557,-4.3,-47,-45.5
o,48,-91.05,218.33,-130.49,0.834,-0.229,-0.266,-2.5,-45.8,-46.6
o,50,-106.24,175.18,-131.47,1.262,0.021,-0.456,0.9,-43.3,-48.2
o,50,-99.96,193.13,-117.06,1.144,0.086,-0.211,4.4,-40.4,-47.5
o,50,-109.84,170.48,-97.41,1.317,0.179,-0.145,8.5,-37.9,-45.4
o,50,-93.67,108.78,-70.98,1.43,0.216,-0.135,14.6,-34.9,-42.4
o,50,-61.5,-8.35,-35.88,1.216,0.192,-0.203,24.3,-31,-39
o,50,-1.57,-34.35,0.43,1.247,0.34,-0.52,26,-31,-39
o,50,46.04,3.43,10.32,0.785,0.174,-0.075,33.4,-22.6,-33.5
o,50,8.75,26.99,-0.18,1.053,0.34,0.18,37.8,-16.2,-27.1
o,51,-17.62,-38.5,-7.5,0.92,0.252,0.168,44.5,-12.2,-21.9
o,49,-8.83,-0.72,-3.6,0.958,0.258,0.078,49,-8.5,-18
o,50,4.47,0.07,-1.89,0.929,0.229,0.101,52.9,-5,-14.5
o,53,5.33,3.67,-0.55,0.965,0.219,0.109,56.2,-2.1,-11.4
o,52,3.19,-0.72,0.74,0.956,0.254,0.083,58.9,0.6,-9
o,47,1.12,-2.73,1.29,0.945,0.221,0.096,61.6,2.5,-6.7
o,50,1.36,1.11,1.53,0.958,0.241,0.081,63.6,4.3,-4.9
o,50,1.85,-1.57,2.57,0.979,0.229,0.097,65.5,5.7,-3.3
o,51,0.69,-0.9,0.86,0.941,0.236,0.068,67,7,-2.1
Next Letter: p,,,,,,,,,,
p,61,0.26,-1.7,-0.3,0.955,0.233,0.072,75.9,13.3,4.3
p,42,0.08,-0.66,-0.42,0.952,0.228,0.077,75.9,13.3,4.3
p,47,0.08,-1.09,-0.48,0.968,0.23,0.072,76,13.3,4.2
p,53,-3.09,-5.42,-0.12,0.964,0.231,0.054,76.3,13.2,4.1
p,48,-1.87,-3.83,1.04,0.958,0.194,0.046,76.7,12.9,3.9
p,54,1.73,-7.62,12.64,1.097,0.278,-0.125,76.7,13.1,3
p,46,46.34,2.15,42.36,1.269,0.273,-0.365,75.7,14.7,1.8
p,50,79.12,-54,93.39,1.456,0.172,-0.313,78.1,16.9,3.7
p,50,95.78,-122.55,142.46,1.4,0.007,-0.368,82.8,18.4,7
p,50,108.11,-251.03,167.61,1.325,-0.091,-0.461,91.7,19.7,10.2
p,50,134.54,-337.02,160.53,1.095,-0.201,-0.47,102,21,12.1
p,50,172.75,-351.12,119.21,0.729,-0.233,-0.496,109.6,23,10.4
p,50,194.05,-260.97,53.41,0.454,-0.317,-0.323,111,23.4,6.5
p,50,151.87,-180.1,-16.29,0.177,-0.292,-0.049,106.6,17.7,3.7
p,52,59.89,-73.9,-45.04,0.285,-0.187,0.056,102.2,12.7,2.5
p,48,-48.38,-55.04,-76.05,0.134,-0.112,0.21,104.9,10.4,-1.1
p,51,-196.76,-7.62,-101.99,0.247,-0.109,0.073,105.3,0.4,-6.3
p,49,-290.2,66.78,-128.54,0.366,-0.076,-0.108,97.2,-13.4,-13.2
p,51,-334.64,76.31,-117.61,0.691,-0.124,-0.727,85.8,-27,-23.2
p,49,-292.03,84.18,-76.47,0.519,0.218,-1.411,81.7,-41.3,-26.9
p,52,-175.09,65.44,-31.12,1.24,0.772,-1.923,78.3,-50.4,-28.5
p,48,21.81,25.1,21.24,0.573,0.458,-2.152,77.1,-49.4,-27.5
p,52,165.73,0.99,67.2,1.188,0.221,-1.395,77,-40.7,-24
p,49,230.12,-149.89,87.22,0.645,0.063,-1.215,75.9,-24.7,-26.1
p,49,285.3,-114.92,104.62,0.732,-0.211,-0.826,75.4,-10.7,-24.9
p,50,265.16,-135.18,107.49,0.489,-0.45,-0.551,75,-2.5,-22.6
p,50,207.42,-72.92,105.9,0.445,-0.615,-0.395,71.6,-0.2,-18.8
p,50,102.13,-32.7,104.13,0.224,-0.496,-0.151,65.7,-5.1,-13.9
p,50,8.81,11.79,95.95,0.131,-0.291,-0.066,65.1,-4.6,-9.1
p,50,-75.3,26.14,96.68,0.041,-0.165,0.008,63.8,-8.4,-4.2
p,50,-146.53,26.68,87.41,-0.135,-0.041,-0.166,62.5,-15.7,0.1
p,50,-162.27,35.29,56.89,-0.292,0.086,-0.474,46.9,-18.9,-6.1
p,53,-131.27,8.43,18.68,-0.274,0.078,-0.91,37,-21.3,-15.2
p,47,-51.56,28.52,-48.52,-0.394,0.013,-1.287,27.8,-20.1,-25.8
p,59,30.23,43.04,-113.28,-0.097,-0.136,-1.266,20.8,-16.5,-40
p,42,78.82,3.61,-136.35,0.128,-0.539,-0.988,18.5,-15.5,-48
p,51,78.63,-19.64,-122.62,0.346,-0.737,-0.782,19.3,-15.8,-52.7
p,58,36.4,-9.08,-55.42,0.321,-0.676,-0.634,19.7,-18.2,-53.5
p,41,-3.28,46.34,-14.34,0.281,-0.573,-0.526,18.1,-22.2,-51.9
p,50,-63.89,94.8,28.93,0.348,-0.578,-0.413,15.3,-28.6,-47.6
p,50,-96.72,131.12,30.34,0.231,-0.45,-0.583,10,-33.8,-46.6
p,50,-124.13,268.75,14.9,0.388,-0.431,-0.462,1.8,-39.3,-44.7
p,50,-116.62,250.38,-7.08,0.642,-0.317,-0.614,-2.7,-41.3,-44.4
p,50,-131.7,262.04,-42.23,0.755,-0.191,-0.282,-3.5,-42.7,-42.5
p,50,-116.62,192.82,-53.1,1.145,0.069,-0.522,-1.4,-40.8,-42.1
p,50,-105.02,212.96,-58.22,1.086,0.079,-0.342,0.6,-38.5,-40.9
p,50,-80.61,167.86,-51.69,1.301,0.165,-0.328,4.5,-35.1,-39
p,50,-58.45,105.18,-39.12,1.241,0.154,-0.251,10.8,-31.3,-36.5
p,50,-34.41,48.47,-24.53,1.125,0.143,-0.187,18.9,-27,-33.5
p,50,-21.16,36.51,-11.59,1.086,0.171,-0.175,26.1,-22.5,-30.3
p,50,12.23,10.02,-5.18,1.056,0.173,-0.073,33.7,-17.2,-26.6
p,50,5.15,-21.66,-7.32,0.969,0.11,0.117,41.7,-13.5,-21.9
p,50,-6.39,-12.99,-5.79,1.017,0.134,0.132,47.9,-10.6,-17.7
p,50,-4.44,-9.88,-4.39,0.966,0.163,0.098,53,-7.8,-14.4
p,50,2.03,-1.82,-1.46,0.964,0.156,0.097,57,-5.1,-11.5
p,50,5.45,1.35,-0.79,0.957,0.159,0.102,60.2,-2.7,-8.9
p,50,4.84,3.86,0.31,0.984,0.154,0.103,62.9,-0.8,-6.6
p,65,4.35,-1.45,1.65,0.989,0.171,0.103,65.3,1,-4.7
p,56,2.89,0.26,1.71,0.962,0.148,0.077,67.6,2.3,-3.2
p,43,2.15,-2.12,2.08,0.978,0.157,0.081,69.5,3.4,-2
Next Letter: q,,,,,,,,,,
q,51,-0.77,-2.37,-0.24,0.982,0.169,0.08,80.1,8.6,3.9
q,50,0.32,0.44,-0.24,0.973,0.155,0.058,80.2,8.7,3.8
q,50,-0.65,-2.55,-0.36,0.978,0.15,0.09,80.2,8.7,4
q,50,-1.08,-1.15,-0.42,0.964,0.163,0.06,80.2,8.8,3.9
q,50,-0.96,-2,-0.18,1.003,0.151,0.066,80.4,8.7,3.9
q,50,-2.24,-5.6,0.43,0.962,0.14,0.022,80.8,8.5,3.5
q,50,-14.45,-12.99,4.28,1.057,0.11,-0.143,81.3,7.5,2
q,50,8.08,-17.81,28.87,1.313,0.192,-0.51,82.2,7.9,3.5
q,50,80.46,-93.01,79.29,1.519,0.271,-0.571,86.8,12,7.4
q,50,144.31,-142.99,125.92,1.351,-0.028,-0.548,90,16.1,8.4
q,50,154.56,-237.48,134.77,1.257,-0.166,-0.284,97.9,19.2,10.9
q,50,136.43,-293.75,116.15,1.036,-0.401,-0.21,105.7,19,12.6
q,57,71.25,-354.6,79.65,0.966,-0.51,-0.291,115.8,15.6,12.4
q,43,4.35,-323.72,70.01,0.584,-0.622,-0.466,115.8,7.4,8.8
q,50,-54.85,-206.04,54.2,0.329,-0.362,-0.611,110.9,-0.2,2.1
q,50,-3.64,-188.4,18.86,0.142,0.184,-0.843,103.7,1.5,-8.6
q,50,102.07,-129.75,-60.18,-0.466,0.455,-0.499,88.5,10.7,-15.5
q,50,126.48,-86.05,-127.38,-0.091,0.3,-0.253,76.9,21.7,-24.4
q,50,67.83,-49.67,-146.54,0.095,-0.03,0.036,79.4,25.1,-31.8
q,50,-77.56,-30.08,-122.98,0.234,-0.457,0.042,72.8,8.6,-31.5
q,50,-211.59,25.28,-103.27,0.282,-0.693,-0.287,63.9,-10.6,-34.3
q,50,-253.77,66.66,-45.28,0.648,-0.646,-0.804,60.6,-23.3,-36.6
q,50,-230.76,98.64,58.41,0.698,-0.717,-1.283,55.6,-34.9,-33.7
q,50,-170.88,64.22,151.98,0.556,-0.445,-1.692,52.4,-43.4,-26.1
q,50,-88.79,-5.36,196.66,0.227,-0.034,-1.915,52.7,-47.8,-16.2
q,50,22.54,-45.09,187.26,0.112,0.088,-1.753,47.3,-39.3,-18.7
q,51,107.75,-118.82,140.63,0.035,0.126,-1.414,45.5,-28,-22.5
q,49,149.55,-139.76,83.74,-0.134,0.183,-1.123,43.5,-16.2,-27.4
q,50,167.87,-122.61,17.76,-0.163,0.197,-0.843,40.6,-4.7,-33.5
q,50,165.18,-88.12,-33.44,-0.266,0.151,-0.533,34.4,5.2,-38.9
q,54,129.96,-85.74,-78.06,-0.279,-0.028,-0.311,26.9,9.8,-43.9
q,48,69.96,-34.05,-105.71,-0.105,-0.177,-0.25,21.4,6.2,-49.2
q,57,32.37,14.54,-78.06,0.189,-0.068,-0.381,21.4,5.5,-54.9
q,43,26.2,46.09,-50.78,0.259,-0.255,-0.214,22.2,0,-53.1
q,49,16.19,46.15,-71.65,0.232,-0.498,-0.314,20.2,-7.1,-52.6
q,49,4.84,67.76,-111.14,0.187,-0.742,-0.335,16.3,-15.2,-52.9
q,50,10.94,91.75,-145.32,0.207,-1.129,-0.458,11.4,-22.4,-54.4
q,50,-2.97,92.18,-183.04,0.452,-1.077,-0.31,9,-28.6,-56.2
q,50,-90.74,113.11,-129.57,0.752,-1.256,-0.393,3.4,-33.1,-62.7
q,50,-210.55,71,-43.76,0.604,-0.969,-0.377,4.4,-45.2,-57.9
q,50,-344.46,60.8,36.44,0.754,-0.324,-0.373,9.7,-56.2,-51.3
q,50,-312.66,49.82,56.03,0.818,0.394,-0.948,7.2,-71.8,-48.5
q,50,-141.28,5.14,47.24,0.766,0.514,-1.202,6.9,-78.9,-46.2
q,51,-24.09,29.31,15.45,0.49,0.3,-1.092,8.1,-66,-47.9
q,49,30.84,55,-13.49,0.604,0.216,-0.775,10.1,-52.9,-48.8
q,51,48.85,98.03,-25.2,0.71,0.083,-0.554,12.1,-42.1,-48.3
q,51,29.32,130.63,-22.76,0.769,0.017,-0.396,14.1,-34.3,-46.1
q,49,-1.14,137.46,-26.55,0.835,-0.042,-0.282,16.9,-29.6,-43.1
q,51,-34.28,127.39,-32.83,0.923,-0.072,-0.152,20.8,-27.3,-39.4
q,49,-61.93,104.81,-47.42,0.915,-0.073,-0.097,25.7,-26.5,-36.4
q,50,-73.77,74.96,-52.85,0.975,-0.009,-0.1,31.3,-25.7,-34.1
q,50,-76.76,40.36,-59.02,0.923,0.114,-0.14,36.7,-24.1,-32.8
q,54,-53.2,35.41,-43.15,1.159,0.262,-0.146,40.9,-21,-30.9
q,46,-42.95,-5.36,-21.05,1.056,0.318,-0.154,45.7,-17.1,-28.3
q,50,1.24,2.64,0.49,1.017,0.304,-0.278,48.9,-12,-26.2
q,51,9.36,8.07,-0.24,0.896,0.243,-0.053,52.4,-7.6,-22.8
q,49,3.44,-6.82,-5,1.003,0.252,-0.013,56.2,-4.2,-19.7
q,53,-4.13,-11.34,-3.66,0.928,0.253,-0.01,59.5,-1.4,-17
q,48,-3.83,-2.06,-3.84,0.96,0.235,-0.021,62.1,0.7,-14.8
q,51,-5.96,-1.82,-1.34,0.945,0.254,-0.032,64.1,2.6,-12.9
Next Letter: r,,,,,,,,,,
r,54,2.34,28.27,5.31,0.958,0.308,-0.02,71.6,16.8,-2.1
r,47,-7.92,24.37,4.34,0.957,0.271,0.013,71,16.4,-1.5
r,50,-7.49,-0.11,-1.83,0.923,0.256,-0.021,71.5,15.9,-1.6
r,50,0.87,10.08,-5.12,0.938,0.261,-0.039,71.5,15.9,-1.9
